data
1586.00 
1684.00 
1423.50 
1929.50 
239.00 
1554.50 
2376.00 
2321.50 
2050.00 
239.00 
2133.00 
3850.00 
2826.00 
1940.00 
1999.00 
3611.00 
2042.00 
3332.00 
1911.50 
606.00 
1777.50 
130.00 
1358.00 
1764.00 
1880.00 
453.40 
469.00 
3620.00 
1393.00 
1793.00 
3013.00 
3594.00 
1347.00 
2506.00 
2079.50 
189.00 
2439.00 
4200.00 
3011.50 
447.20 
189.00 
255.70 
1182.00 
2481.00 
342.30 
239.00 
2481.00 
327.50 
1212.00 
282.00 
1218.00 
189.00 
189.00 
2596.00 
258.20 
250.70 
4016.50 
405.20 
393.00 
285.00 
239.00 
1903.00 
3167.50 
4438.00 
1962.00 
2462.50 
